normal,simple
"In biology , a filament is a long chain of protein subunits , such as those found in hair , muscle , or in flagella .","In biology , a filament is a long chain of proteins , such as those found in hair , muscle , or in flagella ."
"In the 2000s , some of the active topics have been the role of gene duplication in the emergence of novel gene function , the extent of adaptive molecular evolution versus neutral drift , and the identification of molecular changes responsible for various human characteristics especially those pertaining to infection , disease , and cognition .","In the 2000s , the role of gene duplication , the extent of adaptive molecular evolution versus neutral genetic drift , and the identification of molecular changes responsible for various human characteristics especially those pertaining to infection , disease , and cognition ."
"Some of the key topics that spurred development of the field have been the evolution of enzyme function , the use of nucleic acid divergence as a `` molecular clock '' to study species divergence , and the origin of noncoding DNA .","Some of the key topics have been the evolution of enzyme function , the use of nucleic acid changes as a molecular clock to study species divergence , and the origin of non-functional or junk DNA ."
"Molecular evolution emerged as a scientific field in the 1960s as researchers from molecular biology , evolutionary biology and population genetics sought to understand recent discoveries on the structure and function of nucleic acids and protein .","Molecular evolution emerged as a scientific field in the 1960s as researchers from molecular biology , evolutionary biology and population genetics sought to understand the structure and function of nucleic acids and protein ."
"When chlorine gas is passed through iodine crystals , one observes the brown vapor of iodine monochloride . Dark brown iodine monochloride liquid is collected .","Iodine monochloride , also known as iodine ( I ) chloride , is a chemical compound ."
"The cytoplasm is a thick liquid residing between the cell membrane holding organelles , except for the nucleus .","It refers to both the cytosol ( the actual liquid ) , a cells organelles , but not the nucleus ( or the cell membrane ) . The cytoplasm surrounds the nucleus , and is home to the other organelles ."
"The cytoplasm has three major elements ; the cytosol , organelles and inclusions .","The cytoplasm surrounds the nucleus , and is home to the other organelles . The cytoplasm consists mainly of cytosol , and crucial chemical reactions happen with it ."
"A cadre of young military officers , led by Mustafa Kemal AtatÃ 1/4 rk , organized a successful resistance to the Allies ; in 1923 , they would establish the modern Republic of Turkey with AtatÃ 1/4 rk as its first president .",AtatÃ 1/4 rk made many changes that made Turkey more modern .
"( For further information on Alderney concentration camps , see Appendix F : Concentration Camps : EndlÃ sung â `` The Final Solution ; Alderney , a Nazi concentration camp on an island Anglo-Norman ; for further information on Nazi treatment of Jews and other people , see ) .","( For further information on Alderney concentration camps , see Appendix F : Concentration Camps : EndlÃ sung â `` The Final Solution ; Alderney , a Nazi concentration camp on an island Anglo-Norman ; for further information on Nazi treatment of Jews and other people , see ) ."
"These surveys , collectively referred to as the Kitava Study , found that this population apparently did not suffer from stroke , ischemic heart disease , diabetes , obesity or hypertension .","These studies , called the Kitava Study , found that these people apparently did not suffer from stroke , ischemic heart disease , diabetes , obesity or hypertension ."
"Mercury ( II ) chloride or mercuric chloride ( formerly corrosive sublimate ) , is the chemical compound with the formula HgCl2 .","Mercury ( II ) chloride , also known as mercuric chloride and corrosive sublimate , is a chemical compound . Its chemical formula is HgCl2 ."
"That for the Sovereign Head is gold with arms of white enamel and the embellishments rendered in gold , all surmounted by a jeweled St. Edward 's Crown , while those for the officers of the order are the same save for the Grand Prior 's having the crown made only of gold ; the Lord Prior 's having in place of the St. Edward 's Crown the coronet in gold of Albert Edward , Prince of Wales ; and the Prelate 's having instead a representation of a Mitre in gold .","That for the Sovereign Head is gold with arms of white enamel and the embellishments rendered in gold , all surmounted by a jeweled St. Edward 's Crown , while those for the officers of the order are the same save for the Grand Prior 's having the crown made only of gold ; the Lord Prior 's having in place of the St. Edward 's Crown the coronet in gold of Albert Edward , Prince of Wales ; and the Prelate 's having instead a representation of a Mitre in gold ."
"The sopra ( or supra ) vest is a long drape of thin , black cloth that buttons close down the neck and to one side , falling to the ankles and cut so as to entirely cover the body .","The sopra ( or supra ) vest is a long drape of thin , black cloth that buttons close down the neck and to one side , falling to the ankles and cut so as to entirely cover the body ."
"In 1877 , the order established at large railway centres and mining districts various St. John Ambulance associations , so that railway men and colliers could learn how to treat victims of accidents ; in 1882 , the Grand Priory founded a hospice and ophthalmic dispensary in Jerusalem ( Known today as the St. John of Jerusalem Eye Hospital Group ) ; and by 1887 , had created the St. John Ambulance Brigade , which undertook practical and life-saving work .","In 1877 , the order established at large railway centres and mining districts various St. John Ambulance associations , so that railway men and colliers could learn how to treat victims of accidents ; in 1882 , the Grand Priory founded a hospice and ophthalmic dispensary in Jerusalem ( Known today as the St. John of Jerusalem Eye Hospital Group ) ; and by 1887 , had created the St. John Ambulance Brigade , which undertook practical and life-saving work ."
"All Bailiffs and Dames Grand Cross may wear their badges either at the left hip on a 101.6 m ( for men ) or 82.5 m ( for women ) wide , black watered silk ribbon over the right shoulder or from a 16.5 m wide black band at the collar .","All Bailiffs and Dames Grand Cross may wear their badges either at the left hip on a 101.6 m ( for men ) or 82.5 m ( for women ) wide , black watered silk ribbon over the right shoulder or from a 16.5 m wide black band at the collar ."
"The issue of the order 's Christian character and the issue of `` inclusive membership '' was dealt with in the Grand Council 's Pro Fide Report in 2005 , wherein it was said that the order 's life is shaped by Christian faith and values , but that '' ( r ) ather than the emphasis being primarily upon ` spiritual beliefs or doctrine ' it is on works of mercy rendered through St. John '' ; therefore , while the Great Officers are required to profess the Christian faith , the same is `` not an essential condition of membership '' and '' ( t ) he onus is on the man or woman who is invited to the privilege of membership to decide whether he or she can with a good conscience promise to be faithful to the stated aims and purposes of this Christian lay order of chivalry . ''","The issue of the order 's Christian character and the issue of `` inclusive membership '' was dealt with in the Grand Council 's Pro Fide Report in 2005 , wherein it was said that the order 's life is shaped by Christian faith and values , but that '' ( r ) ather than the emphasis being primarily upon ` spiritual beliefs or doctrine ' it is on works of mercy rendered through St. John '' ; therefore , while the Great Officers are required to profess the Christian faith , the same is `` not an essential condition of membership '' and '' ( t ) he onus is on the man or woman who is invited to the privilege of membership to decide whether he or she can with a good conscience promise to be faithful to the stated aims and purposes of this Christian lay order of chivalry . ''"
"Male Knights Justice or Grace must carry their badges on a 16.5 mm wide ribbon at the neck , and Commanders , Officers , and Members have theirs on a 38 m straight ribbon suspended from a medal bar on the left breast , while females in all grades may wear their insignia either on a ribbon bow pinned at the left shoulder or hung from a medal bar in the men 's fashion , depending on the circumstance and clothing worn .","Male Knights Justice or Grace must carry their badges on a 16.5 mm wide ribbon at the neck , and Commanders , Officers , and Members have theirs on a 38 m straight ribbon suspended from a medal bar on the left breast , while females in all grades may wear their insignia either on a ribbon bow pinned at the left shoulder or hung from a medal bar in the men 's fashion , depending on the circumstance and clothing worn ."
"Each cloak also bears on its left side a rendition of the order 's star in white silk : the Sovereign Head , Grand Prior , and those in the first two grades of the order all have a 300 m diameter emblem ; the Sovereign 's and Grand Prior 's are of white silk with gold adornments , the former 's also surmounted by a St. Edward 's Crown , while those for Bailiffs and Dames Grand Cross , Knights and Dames of Justice , and Knights and Dames of Grace are rendered in white linen , the first two groups having embellishments in gold silk , the latter in white silk .","Each cloak also bears on its left side a rendition of the order 's star in white silk : the Sovereign Head , Grand Prior , and those in the first two grades of the order all have a 300 m diameter emblem ; the Sovereign 's and Grand Prior 's are of white silk with gold adornments , the former 's also surmounted by a St. Edward 's Crown , while those for Bailiffs and Dames Grand Cross , Knights and Dames of Justice , and Knights and Dames of Grace are rendered in white linen , the first two groups having embellishments in gold silk , the latter in white silk ."
"Thymol , an antiseptic , is the main active ingredient in Listerine mouthwash .","Thymol , an antiseptic , is the main active ingredient in Listerine mouthwash ."
"Its oxytocin-like effect causes uterine contractions and more rapid delivery of the placenta , but this was said by Sheila Kitzinger to cause an increased prevalence of retained placenta .",Its oxytocin-like effect causes uterine contractions and more rapid delivery of the placenta but this was said by Sheila Kitzinger to cause an increased prevalence of retained placenta .
"Because it is antiseptic , thyme boiled in water and cooled is very effective against inflammation of the throat when gargled 3 times a day .","Because it is antiseptic , thyme boiled in water and cooled is very effective against inflammation of the throat when gargled 3 times a day ."
"Medicinally thyme is used for respiratory infections in the form of a tincture , tisane , salve , syrup or by steam inhalation .","Medicinally thyme is used for respiratory infections in the form of a tincture , tisane , salve , syrup or by steam inhalation ."
"The pollen tube of most seed plants acts as a conduit to transport sperm cells from the pollen grain , either from the stigma ( in flowering plants or angiosperms ) to the ovules at the base of the pistil , or directly through ovule tissue in some gymnosperms ( conifers and gnetophytes ) .","It transports sperm cells from the pollen grain , from the stigma ( in flowering plants or angiosperms ) to the ovules at the base of the pistil . In some gymnosperms ( conifers and gnetophytes ) sperms move directly through ovule tissue ."
"In angiosperms the pollen tube germinates from the pollen grain and grows the entire length through the stigma , style , ovary and ovules to reach the eggs .","In angiosperms the pollen tube germinates from the pollen grain and grows the entire length through the stigma , style , ovary and ovules to reach the eggs ."
"In other gymnosperms ( Ginkgo and cycads ) the pollen tube is involved only in nutrient uptake from ovule tissue by the pollen grain , and does not convey sperm cells to the egg .","In other gymnosperms ( Ginkgo and cycads ) the pollen tube is involved only in nutrient uptake from ovule tissue by the pollen grain , and does not convey sperm cells to the egg ."
"The endosperm is rich in starch , proteins and oils and is a major source of human food ( e.g. , wheat , barley , rye , oats , corn )","The endosperm is rich in starch , proteins and oils and is a major source of human food ( e.g. , wheat , barley , rye , oats , corn )"
"If the animal is allowed to survive after spinning its cocoon and through the pupa phase of its life cycle , it will release proteolytic enzymes to make a hole in the cocoon so that it can emerge as a moth .","If the animal is allowed to survive after spinning its cocoon , it will make a hole in the cocoon when it exits as a moth ."
The size of the eyes and the sclerotic rings suggests that Ophthalmosaurus hunted at a depth where there is not much light or that it may have hunted at night when a prey species was more active .,The size of the eyes and the sclerotic rings suggests that Ophthalmosaurus hunted at a depth where there is not much light or that it may have hunted at night when a prey species was more active .
"The eyes occupied almost all of the space in the skull and were protected by bony plates ( sclerotic rings ) , which most likely assisted to maintain the shape of the eyeballs against water pressure at depth .","They were protected by bony plates ( sclerotic rings ) , which most likely assisted to maintain the shape of the eyeballs against water pressure at depth ."
"To make the chocolate drink , which was served cold , the Maya ground cocoa seeds into a paste , and mixed it with water , cornmeal , chile peppers , and other ingredients .","To make the drink , the Maya ground cocoa seeds into a paste and mixed it with water , cornmeal , chile peppers , and spices ."
"By using cocoa powder and low amounts of cocoa butter , bar chocolate was then possible to manufacture .","By using cocoa powder and a little bit of cocoa butter , bar chocolate was then able to be made ."
"Hot chocolate of this type is commonly sold in circular or hexagonal tablets which can be dissolved into hot milk , water or cream , then blended until the mixture develops a creamy froth .","Hot chocolate of this type is often sold in tablets or bars which can be put into hot milk , water or cream ."
"In the United Kingdom , `` hot chocolate '' is a sweet chocolate drink made with hot milk or water , and powder containing chocolate , sugar , and powdered milk .","In the United Kingdom , `` hot chocolate '' is a sweet chocolate drink made with hot milk or water , and powder with chocolate , sugar , and powdered milk ."
"Americans use the terms `` hot chocolate '' and `` hot cocoa '' interchangeably . In other places , a distinction is made between `` hot cocoa '' , made from powder made by removing most of the rich cocoa butter from the ground cacao beans , and `` hot chocolate '' , made directly from bar chocolate , which already contains cocoa , sugar and cocoa butter .","Hot chocolate ( also called hot cocoa , drinking chocolate or just cocoa ) is a hot drink ."
"This powderâ '' much like the instant cocoa powder used todayâ '' was easier to stir into milk and water , and led to another very important discovery : solid chocolate .","This powder â '' like the cocoa powder used now â '' was easier to stir into milk and water , and led to solid chocolate ."
"The first chocolate beverage is believed to have been created by the Mayan peoples around 2,000 years ago , and a cocoa beverage was an essential part of Aztec culture by 1400 AD .","It is believed that the hot chocolate drink was first made by the Mayan people about 2,000 years ago . Another cocoa drink was made by the Aztecs by 1400 ."
What the Spaniards then called `` chocolatl '' was said to be a beverage consisting of a chocolate base flavored with vanilla and other spices that was served cold .,What the Spanish then called `` chocolatl '' was said to be a drink made of a chocolate base with vanilla and other spices that was served cold .
"Thus the major difference between the two is the cocoa butter , whose absence makes hot cocoa significantly lower in fat than hot chocolate , while still preserving all the antioxidants found in chocolate .","The biggest difference between the two is the cocoa butter , which makes hot cocoa have less fat than hot chocolate , so it is better for one 's health ."
"In other places , a distinction is made between `` hot cocoa '' , made from powder made by removing most of the rich cocoa butter from the ground cacao beans , and `` hot chocolate '' , made directly from bar chocolate , which already contains cocoa , sugar and cocoa butter .","`` Hot cocoa '' is made from a mix of cocoa , sugar and ingredients , all powdered , to make the drink thick without cocoa butter . `` Hot chocolate '' is made right from bars of chocolate , which has cocoa , sugar and cocoa butter in it ."
"It is very sweet and may be topped with marshmallows , whipped cream , or a piece of solid chocolate .","It is very sweet and often is served with marshmallows , whipped cream , or a piece of solid chocolate ."
"After defeating Montezuma 's warriors , and demanding that the Aztec nobles hand over their valuables , CortÃ s returned to Spain in 1528 , bringing cocoa beans and chocolate drink making equipment .","After defeating Montezumaâ s warriors and taking the Aztec 's riches , CortÃ s went back to Spain in 1528 . He brought cocoa beans and chocolate drink making equipment ."
"By using cocoa powder and low amounts of cocoa butter , bar chocolate was then possible to manufacture . The term `` chocolate '' then came to mean solid chocolate , rather than hot chocolate .","`` Hot chocolate '' is made right from bars of chocolate , which has cocoa , sugar and cocoa butter in it ."
"It was often seasoned with vanilla , chile pepper , and achiote , and was believed to fight fatigue , which is probably attributable to the theobromine content , a mood enhancer .","Vanilla , chile pepper , and achiote were added to the drink , and it was believed to fight tiredness , which is because of the theobromine content , a mood enhancer ."
American instant hot cocoa powder often includes powdered milk or other dairy ingredients so it can be made without using milk .,American hot cocoa powder can be made with powdered milk so it can be made without milk .
"Because sugar was yet to come to the Americas , xocolatl was said to be an acquired taste .","Because sugar had not come to the Americas , xocolatl was said to be something that one did not like in the beginning ."
The explorer Francisco HernÃ ndez wrote that chocolate beverages helped treat fever and liver disease .,Explorer Francisco HernÃ ndez wrote that chocolate drinks helped fever and diseases of the liver .
"`` Cocoa '' usually refers to a similar drink made with just hot milk and cocoa powder , then sweetened to taste with sugar .","`` Cocoa '' usually means a similar drink made with just hot milk and cocoa powder , then made sweeter with sugar ."
"When chocolate was introduced to the French in the 17th century , it was reportedly used `` to fight against fits of anger and bad moods '' , which may be attributed to chocolate 's phenylethylamine content .","When chocolate first came to France in the 17th century , it was used `` to fight against fits of anger and bad moods '' ."
"Another explorer , Santiago de Valverde Turices , believed that large amounts of hot chocolate was helpful in treating chest ailments , but in smaller amounts could help stomach disorders .","Another explorer , Santiago de Valverde Turices , thought that large amounts of hot chocolate were good for fixing chest problems , and small amounts could help stomach problems ."
"Besides the instant powder form , traditional Mexican hot chocolate includes semi-sweet chocolate , cinnamon , sugar and vanilla .","Besides the instant powder form , Mexican hot chocolate uses semi-sweet chocolate , cinnamon , sugar and vanilla ."
"Hot chocolate ( also known as hot cocoa or just cocoa ) is a heated beverage typically consisting of shaved chocolate , melted chocolate or cocoa powder , heated milk or water , and sugar .","Hot chocolate ( also called hot cocoa , drinking chocolate or just cocoa ) is a hot drink . It is usually made by mixing chocolate or cocoa powder and sugar with warm milk or water ."
Spontaneous abortion ( also known as miscarriage ) is the expulsion of an embryo or fetus due to accidental trauma or natural causes before approximately the 22nd week of gestation ; the definition by gestational age varies by country .,People speak of spontaneous abortion or miscarriage when the embryo or fetus is lost due to natural causes before the 20th week of pregnancy .
Inconsistent use was reported by 49 % of those using condoms and 76 % of those using the combined oral contraceptive pill ; 42 % of those using condoms reported failure through slipping or breakage .,Inconsistent use was reported by 49 % of those using condoms and 76 % of those using the combined oral contraceptive pill ; 42 % of those using condoms reported failure through slipping or breakage .
A spontaneous abortion can also be caused by accidental trauma ; intentional trauma or stress to cause miscarriage is considered induced abortion or feticide .,Certain diseases or an accidental trauma can also cause a spontaneous abortion . Putting the woman under trauma or stress to cause miscarriage is considered induced abortion .
Hydrogen cyanide is produced when a solution containing a labile cyanide is acidified because HCN is a weak acid ; alkaline solutions are safer to use because they do not evolve hydrogen cyanide .,"The poisons referred to are usually hydrogen cyanide ( HCN ) , and the chemicals which are similar to it , like potassium cyanide ( KCN ) , and sodium cyanide ( NaCN ) . ( Such substances are called derivatives of hydrogen cyanide ) ."
In May 2010 the Governor declared a state of emergency because of foot and mouth disease .,In May 2010 the Governor declared a state of emergency because of foot and mouth disease .
"The enlarged second toe bore an unusually large , curved sickle-shaped claw ( held off the ground or ` retracted ' when walking ) , which is thought to have been used in capturing prey and climbing trees ( see `` Claw function '' below ) .","The enlarged second toe bore an unusually large , curved sickle-shaped claw . It is thought to have been used in capturing prey and , in the smaller species , climbing trees ."
"Many other dromaeosaurid fossils have been found with feathers covering their bodies , some with fully-developed feathered wings .","Many other dromaeosaur fossils have been found with feathers covering their bodies , some with fully-developed feathered wings ."
"It has been proposed that this tail was used as a stabilizer and/or counterweight while running or in the air ; in Microraptor , an elongate diamond-shaped fan of feathers is preserved on the end of the tail .","It has been proposed that this tail was used as a stabilizer and/or counterweight while running . In Microraptor , an elongate diamond-shaped fan of feathers is preserved on the end of the tail ."
"Both the first and second toes on each foot of B. bondoc were also held retracted and bore enlarged , sickle-shaped claws .","Both the first and second toes on each foot of B. bondoc were also held retracted and bore enlarged , sickle-shaped claws ."
"Other fossils , which do not preserve actual impressions of feathers , still preserve the associated bumps on the forearm bones where long wing feathers would have attached in life .","Other fossils , which do not preserve actual impressions of feathers , still preserve the associated bumps on the forearm bones where long wing feathers would have attached in life ."
"The seriema also has an enlarged second toe claw , and uses it to tear apart small prey items for swallowing .","The seriema also has an enlarged second toe claw , and uses it to tear apart small prey items for swallowing ."
"A 2005 study by Sankar Chatterjee suggested that the wings of Microraptor functioned like a split-level `` biplane '' , and that it likely employed a phugoid style of gliding , in which it would launch from a perch and swoop downward in a ` U ' shaped curve , then lift again to land on another tree , with the tail and hind wings helping to control its position and speed .","A 2005 study by Sankar Chatterjee suggested that the wings of Microraptor functioned like a split-level `` biplane '' , and that it likely employed a style of gliding , in which it would launch from a perch and swoop downward in a ` U ' shaped curve , then lift again to land on another tree , with the tail and hind wings helping to control its position and speed ."
"There is a large web of skin between the hind legs ( the uropatagium ) which may assist in flying and catching insects , although there are no tail bones or calcars to help control it in flight .","There is a large web of skin between the hind legs ( the uropatagium ) which may assist in flying and catching insects , although there are no tail bones or calcars to help control it in flight ."
Carbonation is the process of dissolving carbon dioxide in water .,Carbonation is a solution that forms when carbon dioxide is dissolved in a liquid .
"The chip commercially debuted with the release of Apple 's iPad tablet ; followed shortly by the iPhone 4 smartphone , the 4th generation iPod Touch and the 2nd generation Apple TV . It was superseded in the second-generation iPad , released the following year , by the Apple A5 processor .","The Apple A4 is a microprocessor designed by Apple and manufactured by Samsung and first used in the iPad tablet computer , then in the iPhone 4 smartphone ."
"The Neolithic Age , Era , or Period , or New Stone Age , was a period in the development of human technology , beginning about 9500 B.C.E. in the Middle East that is traditionally considered the last part of the Stone Age . The Neolithic followed the terminal Holocene Epipalaeolithic period , beginning with the rise of farming , which produced the `` Neolithic Revolution '' and ending when metal tools became widespread in the Copper Age ( chalcolithic ) or Bronze Age or developing directly into the Iron Age , depending on geographical region .",After the neolithic period comes the Bronze Age .
Mechanical power may be transmitted directly using a solid structure such as a driveshaft ; transmission gears can adjust the amount of torque or force vs. speed in much the same way an electrical transformer adjusts voltage vs current .,Mechanical power may be transmitted directly using a solid structure such as a driveshaft ; transmission gears can adjust the amount of torque or force vs. speed in much the same way an electrical transformer adjusts voltage vs current .
No neuron ever has more than one axon ; however in invertebrates such as insects or leeches the axon sometimes consists of several regions that function more or less independently of each other .,The Axon is the part of a neuron that branches off the main body ( or soma ) .
"Dana Snyder ( born November 14 , 1973 ) is an American stand-up comedian , actor , voice artist , and comedian , best known for playing Master Shake on the Aqua Teen Hunger Force show , and the film Aqua Teen Hunger Force Colon Movie Film for Theaters , both part of Cartoon Network 's Adult Swim franchise .",Dana Snyder is a American voice actor best known for voicing `` Master Shake '' on the adult swim tv program Aqua Teen Hunger Force .
Many sources including the United States Food and Drug Administration warn about potential toxicity from high levels of methylmercury in swordfish .,"However , many sources including the United States Food and Drug Administration warn about potential toxicity ( how poisonous it is ) from high levels of methylmercury in swordfish ."
Some types of micropenis can be addressed with growth hormone or testosterone treatment in early childhood .,Some types of micropenis can be addressed with growth hormone or testosterone treatment in early childhood .
"Chemicals from both synthetic ( e.g. pesticides , anti-bacterial Triclosan , plasticizers for plastics , etc. . . ) and natural ( e.g. chemicals found in tea tree oil and lavender oil ) sources have been linked to various degrees of endocrine disruption .","Chemicals from both synthetic ( e.g. pesticides , anti-bacterial Triclosan , plasticizers for plastics , etc. ) and natural ( e.g. , chemicals found in tea tree oil and lavender oil ) ) sources in the blood of pregnant women have been linked to various degrees of endocrine disruption ."
"Some of the identifiable causes are deficiency of pituitary growth hormone and/or gonadotropins , mild degrees of androgen insensitivity , a variety of genetic syndromes , and variations in certain Homeobox genes .","Some of the causes are deficiency of pituitary growth hormone and/or gonadotropins , mild degrees of androgen insensitivity , a variety of genetic syndromes , and variations in certain Homeobox genes ."
One study found a weak correlation between the size of the stretched penis and foot size and height . Another investigation failed to find any evidence for a link between shoe size and stretched penis size .,"The arithmetic mean human penis is approximately 12.9 t in length , the circumference is approximately 12.3 c. There is no scientific relation between either penis size or race , and shoe size or stretched penis size ."
"For women , width rather than length is a more important factor of sexual stimulation . Fear of shrinking of the penis in folklore have led to a type of mass hysteria called penis panic , though the penis legitimately can shrink in size due to scar tissue formation in the penis from a medical condition called Peyronie 's disease .",A study concluded that penis width rather than length was a more important factor of sexual stimulation probably because a wider penis provides more friction to the clitoral area while a longer penis reaches a less sensitive area .
"The Coleoidae do not have a true endoskeleton in the evolutionary sense ; here , a mollusc exoskeleton evolved into several sorts of internal structure , the `` cuttlebone '' of cuttlefish being the best-known version .","The Coleoidae do not have a true endoskeleton in the evolutionary sense ; here , a mollusc exoskeleton developed into several sorts of internal structure , the `` cuttlebone '' of cuttlefish being the best-known version ."
Potassium arsenite ( KAsO2 ) is the compound which forms the basis of Fowler 's solution and is used as a specific rodenticide .,Potassium arsenite is a chemical compound . Its chemical formula is KAsO2 .
"This wave information travels across the air-filled middle ear cavity via a series of delicate bones : the malleus ( hammer ) , incus ( anvil ) and stapes ( stirrup ) .","The malleus ( hammer ) , incus ( anvil ) and stapes ( stirrup ) ."
"Sound waves traveling through the ear canal will hit the tympanic membrane , or eardrum .","Sound waves traveling through the ear canal will hit the tympanum , or eardrum ."
The middle ear still contains the sound information in wave form ; it is converted to nerve impulses in the cochlea .,They are then converted to nerve impulses in the cochlea .
"JVL received awards from Britannica Internet Guide Selection , USA Today Hot Site , and the Best of the Jewish Web from the Jewish Agency for Israel , the Academic Excellence Award from Study Web and others .","JVL got awards from Britannica Internet Guide Selection , USA Today Hot Site , and the Best of the Jewish Web from the Jewish Agency for Israel , the Academic Excellence Award from Study Web and others ."
"The Jewish Virtual Library has been cited by CNN , New York Times , BBC , CBS News , Fox News , The Los Angeles Times , USA Today , Business Week , and Bloomberg , among others .","The Jewish Virtual Library has been used as a source by CNN , New York Times , BBC , CBS News , Fox News , The Los Angeles Times , USA Today , Business Week , and Bloomberg , among others ."
"Resin is a hydrocarbon secretion of many plants , particularly coniferous trees . It is valued for its chemical properties and associated uses , such as the production of varnishes , adhesives , and food glazing agents ; as an important source of raw materials for organic synthesis ; and as constituents of incense and perfume .","Resin or Rosin ( Oxford dictionary ) is a hydrocarbon secretion of many plants , particularly coniferous trees , valued for its chemical constituents and uses such as varnishes , adhesives , as an important source of raw materials for organic synthesis , or for incense and perfume ."
"According to an early review by iFixIt , the Kindle 2 features a Freescale 532 MHz , ARM-11 90 nm processor , 32 MB main memory , 2 GB moviNAND flash storage and a 3.7 V 1530 mAh lithium polymer battery .","According to an early review by website iFixIt , the new Kindle 2 features a 532 MHz 90 nm processor , 2GB main memory , and 1530 mAh lithium polymer battery ."
The most potent toxin present in these mushrooms is Î - amanitin .,"The most potent toxin present in these mushrooms is amanitin , of which at least eight versions are known ."
"This genus is responsible for approximately 95 % of the fatalities resulting from mushroom poisoning , with the death cap accounting for about 50 % on its own .","This genus is responsible for approximately 95 % of the fatalities resulting from mushroom poisoning , with the death cap accounting for about 50 % on its own ."
"A stirrup is a light frame or ring that holds the foot of a rider , attached to the saddle by a strap , often called a stirrup leather . Stirrups are usually paired and are used to aid in mounting and as a support while using a riding animal ( usually a horse or other equine , such as a mule ) .","The stirrup is a ring with a flat bottom fixed on a leather strap , usually hung from each side of a saddle to create a footrest for the rider on a riding animal ( usually a horse or a mule ) , suspended by an adjustable strap from the saddle for use as a support for the foot of a rider of a horse when seated in the saddle and as an aid in getting up ."
"However , the color also serves a useful function , as humans have a higher light sensitivity to green than to any other color , allowing play for longer periods of time without eye strain .","However , the color also serves a useful function ."
"Nothing was seen ; prevented by ice conditions from reaching the exact spot , Wild took a sounding at 64 Â 11 'S , 46 Â 4 ` W , which revealed 2331 f of water .","Nothing was seen ; prevented by ice conditions from reaching the exact spot , Wild took a sounding at 64 Â 11 'S , 46 Â 4 ` W , which revealed 2331 f of water ."
"They found no signs of land ; a lead weight dropped through the ice reached a depth of 5248 f before the line snapped , a depth which confirmed there was no land in the vicinity .","They found no signs of land ; a lead weight dropped through the ice reached a depth of 5248 f before the line snapped , a depth which confirmed there was no land in the vicinity ."
Acute mania in bipolar disorder is typically treated with mood stabilizers and/or antipsychotic medication .,The mania in bipolar disorder is usually treated using a combination of mood stabilizers and antipsychotic drugs .
"Sickle-cell disease ( SCD ) , or sickle-cell anemia ( or anemia ; SCA ) or drepanocytosis , is an autosomal recessive genetic blood disorder , with overdominance , characterized by red blood cells that assume an abnormal , rigid , sickle shape .","This is a life long disease and a life long blood disorder , sickle cell disease or sickle-cell anemia , characterized by red blood cells that have an abnormal , rigid , sickle shape ."
"Pneumatics uses an easily compressible gas such as air or a suitable pure gas , while hydraulics uses relatively incompressible liquid media such as oil .","Pneumatics uses air , which is compressible , while hydraulics uses relatively incompressible liquid media such as oil or water ."
"Bunyan presents a decrepit and harmless giant to confront Christian at the end of the Valley of the Shadow of Death that is explicitly named `` Pope '' : Now I saw in my Dream , that at the end of this Valley lay blood , bones , ashes , and mangled bodies of men , even of Pilgrims that had gone this way formerly : And while I was musing what should be the reason , I espied a little before me a Cave , where two Giants , Pope and Pagan , dwelt in old times , by whose Power and Tyranny the Men whose bones , blood ashes , & c. lay there , were cruelly put to death .","Bunyan presents a decrepit and harmless giant to confront Christian at the end of the Valley of the Shadow of Death that is explicitly named `` Pope '' : Now I saw in my Dream , that at the end of this Valley lay blood , bones , ashes , and mangled bodies of men , even of Pilgrims that had gone this way formerly : And while I was musing what should be the reason , I espied a little before me a Cave , where two Giants , Pope and Pagan , dwelt in old times , by whose Power and Tyranny the Men whose bones , blood ashes , & c. lay there , were cruelly put to death ."
"But by this place Christian went without much danger , whereat I somewhat wondered ; but I have learned since , that Pagan has been dead many a day ; and as for the other , though he be yet alive , he is by reason of age , and also of the many shrewd brushes that he met with in his younger dayes , grown so crazy and stiff in his joynts , that he can now do little more than sit in his Caves mouth , grinning at Pilgrims as they go by , and biting his nails , because he can not come at them .","But by this place Christian went without much danger , whereat I somewhat wondered ; but I have learned since , that Pagan has been dead many a day ; and as for the other , though he be yet alive , he is by reason of age , and also of the many shrewd brushes that he met with in his younger dayes , grown so crazy and stiff in his joynts , that he can now do little more than sit in his Caves mouth , grinning at Pilgrims as they go by , and biting his nails , because he can not come at them ."
"Anna Fitzgerald 's older sister , Kate , suffers from acute promyelocytic leukemia , a cancer of the blood and bone marrow .","Anna Fitzgerald 's older sister , Kate , suffers from acute promyelocytic leukemia , a cancer of the blood and bone marrow ."
"Following maturation , the lymphocytes enter the circulation and peripheral lymphoid organs ( e.g. the spleen and lymph nodes ) where they survey for invading pathogens and/or tumor cells .","After they mature , the lymphocytes enter the circulation and lymphoid organs ( e.g. the spleen and lymph nodes ) where they are able to sense invading pathogens and tumor cells ."
"B cells mature into B lymphocytes in the bone marrow , while T cells migrate to and mature in a distinct organ , called the thymus .","B cells mature into B lymphocytes in the bone marrow , while T cells migrate to and mature in a distinct organ , called the thymus ."
"The function of T cells and B cells is to recognize specific â non-self â antigens , during a process known as antigen presentation .",The function of T cells and B cells is to recognize foreign antigens .
